timestamp,Position_Change
1970-01-01 00:00:00.000009319,-2.0
1970-01-01 00:00:00.000009418,2.0
1970-01-01 00:00:00.000009481,-2.0
1970-01-01 00:00:00.000009542,2.0
1970-01-01 00:00:00.000009630,-2.0
1970-01-01 00:00:00.000009649,2.0
1970-01-01 00:00:00.000009664,-2.0
1970-01-01 00:00:00.000009706,2.0
1970-01-01 00:00:00.000009751,-2.0
1970-01-01 00:00:00.000009761,2.0
1970-01-01 00:00:00.000009781,-2.0
1970-01-01 00:00:00.000009783,2.0
1970-01-01 00:00:00.000009838,-2.0
1970-01-01 00:00:00.000009886,2.0
1970-01-01 00:00:00.000010101,-2.0
1970-01-01 00:00:00.000010126,2.0
1970-01-01 00:00:00.000010177,-2.0
1970-01-01 00:00:00.000010182,2.0
1970-01-01 00:00:00.000010283,-2.0
1970-01-01 00:00:00.000010332,2.0
1970-01-01 00:00:00.000010473,-2.0
1970-01-01 00:00:00.000010512,2.0
1970-01-01 00:00:00.000010546,-2.0
1970-01-01 00:00:00.000010588,2.0
1970-01-01 00:00:00.000010718,-2.0
1970-01-01 00:00:00.000010789,2.0
1970-01-01 00:00:00.000010858,-2.0
1970-01-01 00:00:00.000010916,2.0
1970-01-01 00:00:00.000010944,-2.0
1970-01-01 00:00:00.000010993,2.0
1970-01-01 00:00:00.000011019,-2.0
1970-01-01 00:00:00.000011094,2.0
1970-01-01 00:00:00.000011157,-2.0
1970-01-01 00:00:00.000011176,2.0
1970-01-01 00:00:00.000011182,-2.0
1970-01-01 00:00:00.000011210,2.0
1970-01-01 00:00:00.000011263,-2.0
1970-01-01 00:00:00.000011311,2.0
1970-01-01 00:00:00.000011361,-2.0
1970-01-01 00:00:00.000011380,2.0
1970-01-01 00:00:00.000011407,-2.0
1970-01-01 00:00:00.000011473,2.0
1970-01-01 00:00:00.000011505,-2.0
1970-01-01 00:00:00.000011513,2.0
1970-01-01 00:00:00.000011580,-2.0
1970-01-01 00:00:00.000011636,2.0
1970-01-01 00:00:00.000011662,-2.0
1970-01-01 00:00:00.000011700,2.0
1970-01-01 00:00:00.000011712,-2.0
1970-01-01 00:00:00.000011755,2.0
1970-01-01 00:00:00.000011792,-2.0
1970-01-01 00:00:00.000011838,2.0
1970-01-01 00:00:00.000011985,-2.0
