date,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,BB01,BB02,BB03,BB04,BB05,BB06,BB07,VB01,VB02,VB03,VB04,VB05
2018-01-30,1,1,1,0,1,0,0.02125,0.00721,0,0,0,0,0,0.43303,0.01836,0,0,0,1,-0.39933
2018-01-31,1,1,1,0,1,1,0.03403,0.00836,0,0,0,0,0,0.75666,0.01869,0,1,0,1,-0.09494
2018-02-01,1,1,1,0,1,1,0.03398,0.00947,0,0,0,0,0,0.71546,0.01776,1,1,1,1,1.16298
2018-02-02,1,1,1,0,1,0,0.02975,0.01027,0,0,0,0,0,0.5722,0.01486,0,1,0,1,-0.35473
2018-02-05,1,1,1,0,0,0,0.01185,0.01014,0,0,0,0,0,0.04763,0.01538,1,1,0,1,0.15224
2018-02-06,1,1,0,0,0,0,0.00681,0.00961,0,0,0,0,0,-0.12113,0.01539,0,1,0,1,-0.20079
2018-02-07,1,1,1,0,1,1,0.05062,0.01112,1,0,0,0,0,1.07451,0.01663,1,1,1,1,2.57208
2018-02-08,1,1,1,0,1,1,0.05179,0.0129,0,0,0,0,0,0.98944,0.01626,0,1,0,1,-0.45977
2018-02-09,1,1,1,0,1,1,0.06838,0.01519,1,0,0,0,0,1.2373,0.0171,1,1,0,1,0.84564
2018-02-12,1,1,1,0,1,0,0.05446,0.01691,0,0,0,0,0,0.85463,0.01776,0,1,0,0,-0.0801
2018-02-13,1,1,1,0,1,0,0.05232,0.0182,0,0,0,0,0,0.75476,0.0176,0,1,0,1,-0.39207
2018-02-14,1,1,1,0,1,0,0.04342,0.019,0,0,0,0,0,0.55312,0.017,0,1,0,1,-0.39136
2018-02-15,1,1,1,0,1,0,0.04142,0.01951,0,0,1,0,0,0.50128,0.01649,0,1,0,1,-0.38865
2018-02-16,1,1,1,0,0,0,0.03659,0.01977,0,0,0,0,0,0.40556,0.01426,0,0,0,1,-0.60628
2018-02-19,1,1,1,0,0,0,0.03159,0.01974,0,0,0,0,0,0.31049,0.01449,0,0,0,1,-0.45939
2018-02-20,1,1,1,0,0,0,0.03796,0.01985,0,0,0,0,0,0.41631,0.01459,0,0,0,1,-0.38068
2018-02-21,1,1,1,0,1,0,0.03825,0.02008,0,0,0,0,0,0.4083,0.01418,0,0,0,1,-0.52537
2018-02-22,1,1,1,0,1,0,0.05048,0.02072,0,0,0,0,0,0.63188,0.01454,0,1,0,1,-0.21006
2018-02-23,1,1,1,0,1,0,0.0372,0.02105,0,0,0,0,0,0.3798,0.01454,0,1,0,1,-0.04104
2018-02-26,1,1,1,0,1,1,0.05095,0.02158,0,0,1,0,0,0.69101,0.01547,0,1,0,0,-0.15774
2018-02-27,1,1,1,0,1,1,0.0654,0.02279,0,0,0,0,0,0.96923,0.0135,0,1,0,1,-0.24443
2018-02-28,1,1,1,0,1,0,0.05678,0.02387,0,0,0,0,0,0.7349,0.01446,0,1,0,1,-0.24988
2018-03-01,1,1,1,0,1,1,0.07092,0.02511,0,0,0,0,0,0.95782,0.01433,0,1,0,1,-0.06226
2018-03-02,1,1,1,0,1,1,0.07103,0.02652,0,0,1,0,0,0.89444,0.01324,0,1,0,1,-0.40063
2018-03-05,1,1,1,0,1,0,0.06747,0.02769,0,0,1,0,0,0.82474,0.01309,0,1,0,1,-0.29665
2018-03-06,1,1,1,0,1,0,0.06418,0.02858,0,0,1,0,0,0.81232,0.01332,0,0,0,1,-0.50347
2018-03-07,1,1,1,0,1,0,0.05609,0.0291,0,0,1,0,0,0.61016,0.01399,0,0,0,1,-0.26841
2018-03-08,1,1,1,0,1,1,0.06334,0.02955,0,0,1,0,0,0.74761,0.01462,1,1,1,1,1.51368
2018-03-09,1,1,1,0,1,1,0.06208,0.03011,0,0,1,0,0,0.69631,0.01455,1,1,0,1,0.793
2018-03-12,1,1,1,0,1,1,0.06311,0.03061,0,0,1,0,0,0.69097,0.0139,0,1,0,1,-0.33732
2018-03-13,1,1,1,0,1,1,0.07299,0.03132,0,0,1,0,0,0.83546,0.01454,1,1,0,1,0.19414
2018-03-14,1,1,1,0,1,0,0.04404,0.03153,0,0,0,0,0,0.27583,0.01574,1,1,0,0,0.07265
2018-03-15,1,1,1,0,0,0,0.03715,0.03076,0,0,0,0,0,0.13536,0.0152,0,1,0,0,-0.15872
2018-03-16,1,1,0,0,0,0,0.02439,0.02954,0,0,0,0,0,-0.15373,0.01464,1,0,0,0,0.00941
2018-03-19,1,1,0,0,0,0,0.02513,0.02811,0,0,0,0,0,-0.17305,0.01434,0,0,0,0,-0.27149
2018-03-20,1,1,0,0,0,0,0.00662,0.02628,0,0,0,0,0,-0.67571,0.01496,1,0,0,0,0.33706
2018-03-21,1,1,0,0,0,0,0.00818,0.0242,0,0,0,0,0,-0.67496,0.01402,1,0,0,0,0.71768
2018-03-22,1,1,0,0,0,0,0.00943,0.02241,0,0,0,0,0,-0.6267,0.01414,0,1,0,1,-0.16281
2018-03-23,1,1,0,0,0,0,0.00147,0.02052,0,0,0,0,0,-0.85986,0.01451,0,1,0,1,-0.02643
2018-03-26,1,1,0,0,0,0,0.00592,0.01882,0,0,0,0,0,-0.69715,0.01518,1,1,1,1,1.33163
2018-03-27,1,1,0,0,1,0,0.02649,0.01817,0,0,0,0,0,-0.10266,0.01543,1,1,0,1,0.02036
2018-03-28,1,1,0,0,1,0,0.02853,0.01801,0,0,0,0,0,-0.02292,0.0144,0,1,0,1,-0.48825
2018-03-29,1,1,1,0,1,0,0.02842,0.01789,0,0,0,0,0,0.01972,0.01372,0,1,0,1,-0.34872
2018-03-30,1,1,0,0,1,0,0.00786,0.01696,0,0,0,0,0,-0.48755,0.01522,1,1,0,1,2.24051
2018-04-02,1,1,0,0,1,0,0.00798,0.0158,0,0,0,1,0,-0.43046,0.01508,0,0,0,1,-0.59243
2018-04-03,1,1,0,0,0,0,0.01204,0.01493,0,0,0,0,0,-0.27317,0.01351,0,0,0,1,-0.35329
2018-04-04,1,1,0,0,0,0,-0.0178,0.01287,0,0,0,0,0,-0.94445,0.01567,1,0,0,1,0.037
2018-04-05,1,1,0,0,0,0,-0.00081,0.0114,0,0,0,0,0,-0.47334,0.01575,0,0,0,1,-0.21146
2018-04-06,1,1,0,0,0,0,0.00054,0.01033,0,0,0,0,0,-0.397,0.01507,0,1,0,1,-0.28352
2018-04-09,1,1,0,0,0,0,0.00783,0.00973,0,0,0,0,0,-0.15723,0.014,0,1,0,1,-0.33497
2018-04-10,1,1,0,0,0,0,0.0051,0.00912,0,0,0,0,0,-0.19567,0.01371,0,1,0,1,-0.38813
2018-04-11,1,1,0,0,1,0,-0.01311,0.00763,0,0,0,0,0,-0.82831,0.0157,0,1,0,1,-0.05637
2018-04-12,1,1,0,0,0,0,-0.02049,0.00574,0,1,0,0,0,-1.00055,0.01629,0,0,0,0,-0.20516
2018-04-13,1,1,0,0,0,0,-0.03644,0.00309,0,1,0,0,0,-1.26346,0.01666,0,0,0,0,-0.29514
2018-04-16,1,1,0,0,0,0,-0.01977,0.00157,0,0,0,0,0,-0.69908,0.01698,0,0,0,0,-0.10222
2018-04-17,0,1,0,0,0,0,-0.02829,-0.00026,0,0,0,0,0,-0.85357,0.01797,0,0,0,1,-0.23904
2018-04-18,0,1,0,0,0,0,-0.03762,-0.00252,0,0,0,1,0,-0.96461,0.01946,0,0,0,1,-0.31219
2018-04-19,0,1,0,0,0,0,-0.03681,-0.00451,0,0,0,0,0,-0.84801,0.01807,0,0,0,0,-0.19758
2018-04-20,0,1,0,0,0,0,-0.03837,-0.00642,0,0,0,0,0,-0.80257,0.01755,0,0,0,0,-0.4375
2018-04-23,0,1,0,0,0,0,-0.05628,-0.00941,0,1,0,1,0,-1.00868,0.01937,1,0,0,0,0.10045
2018-04-24,0,1,0,0,0,0,-0.04815,-0.01141,0,0,0,0,0,-0.79621,0.01733,0,0,0,0,-0.06942
2018-04-25,0,1,0,0,0,0,-0.04178,-0.01281,0,0,0,1,0,-0.6515,0.01659,0,0,0,0,-0.33018
2018-04-26,0,1,0,0,0,0,-0.06437,-0.01591,0,0,0,1,0,-0.9698,0.01856,1,0,0,0,1.85247
2018-04-27,0,1,0,0,0,0,-0.05373,-0.01758,0,0,0,1,0,-0.73374,0.01852,0,0,0,0,-0.49833
2018-04-30,0,1,0,0,1,0,-0.04344,-0.01841,0,0,0,1,0,-0.53638,0.01906,1,1,1,0,1.64549
2018-05-01,0,1,1,0,1,0,-0.00626,-0.0164,0,0,0,0,0,0.13192,0.0195,1,1,0,0,0.44117
2018-05-02,0,1,0,0,1,0,-0.0155,-0.01591,0,0,0,0,0,-0.02938,0.01988,0,1,0,0,-0.12567
2018-05-03,0,1,1,0,1,0,-0.01019,-0.01492,0,0,0,0,0,0.09457,0.01885,1,1,0,0,0.92117
2018-05-04,0,1,1,0,1,0,0.00731,-0.01284,0,0,0,0,0,0.47129,0.01784,1,1,1,0,1.14204
2018-05-07,0,1,1,0,1,0,0.00239,-0.01153,0,0,0,0,0,0.44069,0.01716,0,1,0,0,-0.42861
2018-05-08,0,1,1,0,1,1,0.01141,-0.00968,0,0,0,0,0,0.71359,0.01665,0,1,0,0,-0.39462
2018-05-09,0,1,1,0,1,1,0.0206,-0.00749,0,0,0,0,0,0.8911,0.01701,0,1,0,0,-0.40087
2018-05-10,0,1,1,0,1,0,0.00592,-0.00653,0,0,0,0,0,0.55183,0.01831,0,1,0,0,-0.09392
2018-05-11,0,1,1,0,1,0,0.01071,-0.00526,0,0,0,0,0,0.60798,0.01685,0,1,0,0,-0.48244
2018-05-14,0,1,1,0,1,1,0.01999,-0.00357,0,0,0,0,0,0.75387,0.01734,0,1,0,0,-0.44711
2018-05-15,0,1,1,0,1,1,0.03385,-0.00128,0,0,1,0,0,0.91373,0.01803,0,1,0,0,-0.23257
2018-05-16,1,1,1,0,1,1,0.04417,0.00133,0,0,1,0,0,0.95783,0.01687,0,1,0,0,-0.24297
2018-05-17,1,1,1,0,1,0,0.03456,0.00316,0,0,1,0,0,0.73005,0.01705,0,1,0,0,-0.43463
2018-05-18,1,1,1,0,1,0,0.01976,0.00402,0,0,1,0,0,0.46766,0.01805,1,0,0,0,1.00211
2018-05-21,1,1,1,1,1,0,0.01828,0.00469,0,0,0,0,0,0.41354,0.01547,0,0,0,0,-0.40862
2018-05-22,1,1,1,1,0,0,0.01322,0.00502,0,0,0,0,0,0.30522,0.01462,0,0,0,0,-0.56486
2018-05-23,1,1,1,1,0,0,0.00292,0.00476,0,0,0,0,0,0.10749,0.0156,0,0,0,0,-0.32232
2018-05-24,1,1,0,1,0,0,-0.00211,0.00421,0,0,0,0,0,-0.04055,0.01497,0,0,0,0,-0.39193
2018-05-25,1,1,0,0,0,0,-0.00517,0.00352,0,0,0,0,1,-0.19056,0.01542,0,0,0,0,-0.29219
2018-05-28,1,1,0,1,0,0,0.00276,0.00332,0,0,0,0,1,-0.08119,0.01528,0,0,0,1,-0.2805
2018-05-29,1,1,0,0,0,0,-0.01317,0.00227,0,0,0,0,1,-0.57309,0.01586,1,0,0,0,0.0127
2018-05-30,1,1,0,0,0,0,-0.01118,0.00139,0,0,0,0,1,-0.57989,0.01461,0,0,0,0,-0.46853
2018-05-31,1,1,0,0,0,0,-0.01339,0.00047,0,0,0,0,1,-0.69174,0.01511,0,0,0,1,-0.36073
2018-06-01,0,1,0,0,0,0,-0.01624,-0.00053,0,0,0,0,1,-0.73695,0.01444,0,0,0,0,-0.03941
2018-06-04,0,1,0,0,0,0,0.00134,-0.0004,0,0,0,0,1,-0.20957,0.01384,1,0,0,1,0.0592
2018-06-05,0,1,0,0,1,0,0.00096,-0.0003,0,0,0,1,1,-0.21378,0.01371,0,0,0,0,-0.419
2018-06-06,0,1,0,0,0,0,-0.01291,-0.00104,0,0,0,1,1,-0.59297,0.01481,0,0,0,0,-0.09471
2018-06-07,0,1,0,0,0,0,-0.01716,-0.00196,0,0,0,1,1,-0.67778,0.01417,0,0,0,0,-0.14636
2018-06-08,0,1,0,0,0,0,-0.03506,-0.00393,0,1,0,1,0,-1.01952,0.01513,1,0,0,0,0.1231
2018-06-11,0,1,0,0,0,0,-0.01638,-0.00446,0,0,0,0,0,-0.51865,0.01591,1,0,0,0,0.37425
2018-06-12,0,1,0,0,0,0,-0.01128,-0.00468,0,0,0,0,1,-0.36586,0.01513,0,0,0,0,-0.2411
2018-06-13,0,1,0,0,0,0,-0.01564,-0.00519,0,0,0,0,1,-0.4705,0.01513,0,0,0,1,-0.17219
2018-06-14,0,1,1,0,1,0,0.00072,-0.00457,0,0,0,0,1,0.06769,0.01601,1,1,0,1,0.04749
2018-06-15,0,1,0,0,1,0,-0.01572,-0.00514,0,0,0,0,1,-0.47266,0.01673,1,1,0,1,0.13822
2018-06-18,0,1,1,0,1,0,0.00934,-0.00399,0,0,0,0,1,0.52921,0.01733,1,1,1,1,2.40145
2018-06-19,0,1,1,1,1,1,0.01053,-0.003,0,0,0,0,1,0.65412,0.01821,0,1,0,0,-0.16692
2018-06-20,0,1,1,0,1,0,0.00281,-0.00257,0,0,0,0,1,0.35284,0.01807,0,1,0,1,-0.51358
2018-06-21,0,1,1,1,1,1,0.01284,-0.00156,0,0,0,0,1,0.75937,0.01804,1,1,0,1,0.24068
2018-06-22,0,1,1,1,1,1,0.02158,-0.00017,0,0,0,0,1,0.99392,0.0181,1,1,0,0,0.00758
2018-06-25,1,1,1,1,1,1,0.02647,0.00135,1,0,0,0,1,1.05218,0.0176,0,1,0,1,-0.10682
2018-06-26,1,1,1,1,1,0,0.01564,0.00213,0,0,0,0,1,0.63981,0.01749,0,1,0,0,-0.1091
2018-06-27,1,1,1,1,1,0,0.00929,0.00248,0,0,0,0,1,0.41293,0.01764,1,1,0,1,0.25752
2018-06-28,1,1,1,1,1,0,0.01103,0.00287,0,0,0,0,1,0.43811,0.01679,0,1,0,1,-0.37358
2018-06-29,1,1,1,0,0,0,0.00292,0.00279,0,0,0,0,1,0.16377,0.01633,0,0,0,0,-0.12522
2018-07-02,1,1,0,0,0,0,-0.00744,0.00211,0,0,0,0,1,-0.15676,0.01651,0,0,0,0,-0.25104
2018-07-03,1,1,0,0,0,0,-0.01701,0.00092,0,0,0,0,1,-0.4395,0.01723,1,0,0,0,0.3696
2018-07-04,1,1,0,0,0,0,-0.00747,0.00039,0,0,0,0,1,-0.16395,0.0164,0,0,0,1,-0.23469
2018-07-05,0,1,0,0,0,0,-0.01904,-0.00078,0,0,0,0,1,-0.53635,0.01646,1,0,0,0,0.05092
2018-07-06,0,1,0,0,0,0,-0.00883,-0.00121,0,0,0,0,1,-0.31221,0.01526,0,0,0,1,-0.26623
2018-07-09,0,1,1,0,1,0,0.00668,-0.00069,0,0,0,0,1,0.20191,0.01541,1,1,0,1,0.68803
2018-07-10,0,1,0,0,1,0,-0.00592,-0.00098,0,0,0,0,1,-0.27909,0.01606,1,1,0,1,0.20222
2018-07-11,0,1,0,0,0,0,-0.01651,-0.00188,0,0,0,0,1,-0.69582,0.01616,0,0,0,1,-0.18976
2018-07-12,0,1,0,0,0,0,-0.02507,-0.00322,0,0,0,0,1,-0.90675,0.01599,0,0,0,1,-0.24967
2018-07-13,0,1,0,0,0,0,-0.03781,-0.00524,0,1,0,1,1,-1.17211,0.01705,0,0,0,1,-0.14816
2018-07-16,0,1,0,0,0,0,-0.05985,-0.00858,0,1,0,1,0,-1.36613,0.01861,1,0,0,1,0.25228
2018-07-17,0,1,0,0,0,0,-0.08039,-0.01306,0,1,0,1,0,-1.37326,0.02019,1,0,0,1,0.27095
2018-07-18,0,1,0,0,0,0,-0.08979,-0.01773,0,1,0,1,0,-1.22983,0.02106,1,0,0,1,0.01014
2018-07-19,0,1,0,0,0,0,-0.059,-0.01921,0,0,0,0,0,-0.7346,0.02167,1,0,0,0,0.28003
2018-07-20,0,1,0,0,0,0,-0.06448,-0.02155,0,0,0,0,0,-0.74629,0.02157,0,0,0,1,-0.32124
2018-07-23,0,0,0,0,0,0,-0.08964,-0.02585,0,0,0,1,0,-0.96051,0.02316,0,0,0,1,-0.06286
2018-07-24,0,0,0,0,0,0,-0.08501,-0.02877,0,0,0,1,0,-0.82968,0.02228,0,0,0,1,-0.36416
2018-07-25,0,0,0,0,0,0,-0.08087,-0.03113,0,0,0,1,0,-0.72847,0.02133,0,1,0,0,-0.41375
2018-07-26,0,0,0,0,0,0,-0.04996,-0.03037,0,0,0,0,0,-0.3658,0.02172,1,1,1,1,3.03837
2018-07-27,0,0,0,0,1,0,-0.04734,-0.03035,0,0,0,1,0,-0.31843,0.02033,0,1,0,1,-0.13367
2018-07-30,0,0,0,0,1,0,-0.02697,-0.02853,0,0,0,0,0,-0.05983,0.02042,0,1,0,0,-0.01908
2018-07-31,0,0,0,0,1,0,-0.03985,-0.02862,0,0,0,0,0,-0.20497,0.02141,0,1,0,1,-0.2857
2018-08-01,0,0,0,0,1,0,-0.04593,-0.02892,0,0,0,0,0,-0.2662,0.02089,0,1,0,0,-0.39073
2018-08-02,0,0,0,0,0,0,-0.04685,-0.02911,0,0,0,0,0,-0.26607,0.02053,0,0,0,1,-0.29845
2018-08-03,0,0,0,0,0,0,-0.04975,-0.02952,0,0,0,0,0,-0.29272,0.01846,0,0,0,1,-0.42767
2018-08-06,0,0,0,0,0,0,-0.04433,-0.02931,0,0,0,0,0,-0.20182,0.0168,0,0,0,0,-0.46436
2018-08-07,0,0,0,0,0,0,-0.03511,-0.02842,0,0,0,0,0,-0.01535,0.01654,0,0,0,0,-0.23389
2018-08-08,0,0,0,0,0,0,-0.04641,-0.02891,0,0,0,0,0,-0.23483,0.01571,0,0,0,0,-0.35867
2018-08-09,0,0,0,0,0,0,-0.05039,-0.02941,0,0,0,0,0,-0.35658,0.0161,0,0,0,0,-0.05418
2018-08-10,0,0,0,0,0,0,-0.07773,-0.0324,0,1,0,0,0,-1.13825,0.01657,1,0,0,1,0.01969
2018-08-13,0,0,0,0,0,0,-0.07968,-0.03452,0,1,0,0,0,-1.07722,0.01663,0,0,0,0,-0.36182
2018-08-14,0,0,0,0,0,0,-0.06712,-0.03509,0,0,0,0,0,-0.72207,0.017,0,0,0,1,-0.08284
2018-08-15,0,0,0,0,0,0,-0.05358,-0.03467,0,0,0,0,0,-0.42059,0.01526,0,0,0,1,-0.13681
2018-08-16,0,0,0,0,0,0,-0.05352,-0.03473,0,0,0,0,0,-0.42494,0.01514,0,0,0,1,-0.35608
2018-08-17,0,0,0,0,1,0,-0.04537,-0.03398,0,0,0,0,0,-0.23798,0.01417,0,1,0,0,-0.06685
2018-08-20,0,0,1,0,1,0,-0.0303,-0.03213,0,0,0,0,0,0.08497,0.01357,1,1,0,0,0.04204
2018-08-21,0,0,0,0,1,0,-0.03202,-0.03109,0,0,0,0,0,-0.00908,0.01347,0,1,0,0,-0.24346
2018-08-22,0,0,1,0,1,0,-0.01407,-0.02846,0,0,0,0,0,0.39483,0.01363,1,1,0,0,0.13247
2018-08-23,0,0,1,0,1,0,-0.01675,-0.02683,0,0,0,0,0,0.31392,0.01351,0,1,0,1,-0.31309
2018-08-24,0,0,1,0,1,0,-0.01944,-0.02552,0,0,0,0,0,0.23632,0.01328,0,1,0,0,-0.02664
2018-08-27,0,0,1,0,1,0,-0.02348,-0.02461,0,0,0,0,1,0.1648,0.01266,0,0,0,0,-0.23542
2018-08-28,0,0,1,0,1,1,-0.00406,-0.02207,0,0,0,0,1,0.70546,0.01277,1,1,0,0,0.10536
2018-08-29,0,0,1,0,1,1,0.00298,-0.01965,0,0,0,0,1,0.8284,0.01253,0,0,0,0,-0.01564
2018-08-30,0,0,1,0,1,0,-0.00557,-0.01827,0,0,1,0,0,0.5634,0.01142,0,0,0,0,-0.05743
2018-08-31,0,0,1,0,1,0,-0.00248,-0.01662,0,0,1,0,0,0.5919,0.01127,0,1,0,0,-0.12033
2018-09-03,0,0,1,0,1,1,0.00951,-0.0143,0,0,1,0,0,0.80367,0.01111,1,1,0,1,0.13022
2018-09-04,0,0,1,0,1,1,0.01232,-0.01219,0,0,1,0,0,0.8001,0.01037,0,1,0,0,-0.02749
2018-09-05,0,0,1,0,1,1,0.01959,-0.00982,0,0,1,0,0,0.84933,0.01084,0,1,0,0,-0.19805
2018-09-06,0,0,1,0,1,0,0.0114,-0.0083,0,0,1,0,0,0.62548,0.0108,1,1,0,0,0.10716
2018-09-07,0,0,1,0,1,0,-0.00068,-0.00764,0,0,0,0,0,0.35575,0.01064,0,1,0,0,-0.16076
2018-09-10,0,0,1,0,0,0,0.00555,-0.00654,0,0,0,0,0,0.45727,0.01081,0,1,0,1,-0.04826
2018-09-11,0,0,1,0,0,0,0.01041,-0.00529,0,0,0,0,0,0.54269,0.00995,0,1,0,0,-0.07651
2018-09-12,0,0,1,0,0,0,-0.00376,-0.00507,0,0,0,0,1,0.15158,0.01081,0,0,0,1,-0.01566
2018-09-13,0,0,1,0,0,0,0.00805,-0.00407,0,0,0,0,1,0.44956,0.01132,1,1,0,0,0.15252
2018-09-14,0,0,1,0,1,1,0.01943,-0.00253,0,0,0,0,1,0.77725,0.01206,0,1,0,0,-0.00809
2018-09-17,0,0,1,1,1,1,0.02924,-0.0006,0,0,0,0,1,0.99193,0.01138,0,1,0,0,-0.06823
2018-09-18,1,0,1,1,1,1,0.03243,0.00129,1,0,0,0,1,1.01211,0.01106,0,1,0,0,-0.11297
2018-09-19,1,0,1,1,1,0,0.02661,0.00268,0,0,0,0,1,0.76798,0.01056,0,1,0,0,-0.03399
2018-09-20,1,0,1,0,1,0,0.02245,0.00371,0,0,0,0,1,0.61131,0.01072,1,1,0,0,0.01975
2018-09-21,1,0,1,0,1,0,0.01497,0.00424,0,0,0,0,1,0.37041,0.01037,0,0,0,1,-0.41367
2018-09-24,1,0,1,0,0,0,0.01849,0.00488,0,0,0,0,1,0.48584,0.01053,0,0,0,1,-0.2981
2018-09-25,1,0,1,0,0,0,0.01683,0.00539,0,0,0,0,1,0.40843,0.01013,0,0,0,1,-0.20542
2018-09-26,1,0,1,1,0,0,0.021,0.00605,0,0,0,0,1,0.53969,0.01001,0,0,0,0,-0.12614
2018-09-27,1,0,1,0,0,0,0.01287,0.00625,0,0,0,0,1,0.21848,0.00992,1,0,0,1,0.0191
2018-09-28,1,0,0,0,0,0,0.00199,0.00584,0,0,0,0,1,-0.2736,0.01027,1,0,0,1,0.17542
2018-10-01,1,0,0,0,0,0,0.00272,0.00543,0,0,0,0,1,-0.25096,0.01005,1,0,0,1,0.02035
2018-10-02,1,0,0,0,0,0,0.00626,0.00526,0,0,0,0,1,-0.09374,0.0093,0,1,0,1,-0.21557
2018-10-03,1,0,0,0,0,0,0.00367,0.00498,0,0,0,0,1,-0.19159,0.00849,0,0,0,0,-0.10925
2018-10-04,1,0,1,1,1,0,0.01492,0.00531,0,0,0,0,1,0.31072,0.00834,1,1,0,0,0.19751
2018-10-05,1,0,0,0,1,0,0.00643,0.00522,0,0,0,0,1,-0.11046,0.00824,0,1,0,1,-0.06842
2018-10-08,1,0,0,0,1,0,0.00315,0.00492,0,0,0,0,1,-0.30073,0.00824,0,0,0,1,-0.17186
2018-10-09,1,0,0,0,0,0,-0.00235,0.00434,0,0,0,0,1,-0.57633,0.00839,0,0,0,0,-0.05766
2018-10-10,1,0,0,0,0,0,-0.00452,0.00367,0,0,0,0,1,-0.80361,0.00849,0,0,0,0,-0.18467
2018-10-11,1,0,0,0,0,0,-0.00538,0.00301,0,0,0,0,1,-0.82849,0.00824,0,0,0,1,-0.12995
2018-10-12,1,0,0,0,0,0,-0.00352,0.00251,0,0,0,0,1,-0.66107,0.00817,0,0,0,0,-0.20581
2018-10-15,1,0,0,0,0,0,-0.00334,0.00208,0,0,0,0,1,-0.59781,0.00825,0,0,0,0,-0.16103
2018-10-16,1,0,0,0,1,0,0.00124,0.00194,0,0,0,0,1,-0.3187,0.00823,1,1,0,0,0.26011
2018-10-17,1,0,1,1,1,0,0.01236,0.00245,0,0,0,0,1,0.40942,0.00854,1,1,0,1,0.22112
2018-10-18,1,0,1,1,1,1,0.01877,0.00327,0,0,0,0,1,0.83407,0.00847,0,1,0,1,-0.02995
2018-10-19,1,0,1,1,1,0,0.00764,0.00344,0,0,0,0,1,0.18035,0.00907,1,1,0,1,0.34971
2018-10-22,1,0,1,1,1,0,0.00645,0.00349,0,0,0,0,1,0.15108,0.00893,1,1,0,0,0.09253
2018-10-23,1,0,1,1,1,0,0.00838,0.00363,0,0,0,0,1,0.31562,0.00921,0,1,0,0,-0.09986
2018-10-24,1,0,0,0,0,0,-0.0003,0.0033,0,0,0,0,1,-0.2124,0.00883,0,0,0,0,-0.05459
2018-10-25,1,0,1,1,0,0,0.00347,0.00317,0,0,0,0,1,0.09211,0.00863,1,0,0,0,0.08328
2018-10-26,1,0,1,1,1,0,0.01367,0.00363,0,0,0,0,1,0.77666,0.00903,1,1,0,0,0.17081
2018-10-29,1,0,1,1,1,0,0.01198,0.00397,0,0,0,0,1,0.6231,0.00874,1,1,0,1,0.23834
2018-10-30,1,0,1,1,1,0,0.01257,0.00432,0,0,0,0,1,0.63192,0.00847,1,1,0,1,0.08598
2018-10-31,1,0,1,1,1,0,0.01303,0.00465,0,0,0,0,1,0.62444,0.00834,0,1,0,0,-0.15536
2018-11-01,1,0,1,1,1,0,0.01469,0.00504,0,0,0,0,1,0.72362,0.00817,1,1,0,0,0.08442
2018-11-02,1,0,1,1,1,1,0.02345,0.00585,1,0,1,0,1,1.06562,0.00878,0,1,0,0,-0.02407
